Price per m2 (dollars);LCI
24,879;0,541544448
5,567;0,541544448
21,915;0,579516376
8,626;0,579516376
6,225;0,695273263
4,264;0,695273263
3,14;0,695273263
15,811;0,658732932
18,192;0,578780848
28,719;0,578780848
16,735;0,578185712
4,729;0,578185712
6,523;0,578185712
13,68;0,594296862
48,119;0,594296862
8,493;0,594296862
2,982;0,58666286
2,693;0,575261126
15,558;0,575261126
10,303;0,575261126
5,08;0,602352332
11,668;0,58666286
3,103;0,58666286
28,685;0,761778257
300,746;0,800817676
8,817;0,664264559
57,307;0,703197603
42,109;0,724124088
29,424;0,761778257
37,845;0,761778257
159,688;0,799752708
23,918;0,761778257
28,05;0,761778257
5,734;0,602352332
24,39;0,632010192
10,728;0,725515674
61,465;0,794936154
58,206;0,794936154
21,574;0,722608409
66,594;0,722608409
70,999;0,722608409
29,973;0,724124088
30,077;0,724124088
30,361;0,724124088
30,285;0,724124088
65,022;0,722608409
65,02;0,722608409
65,013;0,722608409
64,621;0,722608409
65,011;0,722608409
64,62;0,722608409
64,62;0,722608409
65,011;0,722608409
65,011;0,722608409
64,511;0,722608409
57,32;0,722608409
16,873;0,722608409
62,043;0,765151062
44,191;0,765151062
93,371;0,765151062
99,067;0,765151062
29,065;0,765151062
65,532;0,688324819
234,09;0,688324819
63,628;0,688324819
63,55;0,688324819
62,89;0,688324819
64,57;0,688324819
52,612;0,688324819
63,457;0,688324819
496,401;0,688324819
14,845;0,688324819
18,338;0,688324819
50,779;0,688324819
50,041;0,688324819
50,016;0,688324819
51,863;0,688324819
50,982;0,688324819
50,004;0,688324819
50,006;0,688324819
49,656;0,688324819
100,018;0,688324819
1383,583;0,688324819
49,997;0,688324819
50,021;0,688324819
49,997;0,688324819
50,001;0,688324819
50,025;0,688324819
50,021;0,688324819
51,186;0,688324819
13,491;0,752396959
14,358;0,752396959
153,713;0,885415578
16,585;0,681719745
19,367;0,681719745
17,458;0,681719745
81,51;0,681719745
93,765;0,804159763
29,729;0,804159763
77,984;0,794319878
88,001;0,794319878
278,692;0,794319878
83,28;0,794319878
79,333;0,794319878
86,725;0,817359979
80,383;0,817359979
163,37;0,817359979
78,401;0,770450072
90,754;0,770450072
16,51;0,711827153
16,236;0,711827153
18,136;0,711827153
90,805;0,783374679
88,861;0,783374679
87,202;0,783374679
86,904;0,844133867
378,854;0,844133867
81,57;0,844133867
81,608;0,844133867
85,327;0,844133867
85,81;0,844133867
82,429;0,844150058
77,963;0,814368608
21,522;0,74245003
271,987;0,773490862
87,485;0,718749589
83,144;0,718749589
87,321;0,718749589
83,391;0,718749589
84,208;0,718749589
84,305;0,718749589
84,477;0,718749589
82,789;0,718749589
83,947;0,718749589
81,652;0,718749589
82,018;0,718749589
85,508;0,718749589
83,806;0,718749589
41,22;0,765151062
21,357;0,686000151
71,463;0,686000151
16,311;0,686000151
17,157;0,686000151
37,327;0,686000151
42,133;0,681719745
18,3;0,681719745
20,592;0,681719745
8,541;0,590107072
3,446;0,590107072
3,869;0,590107072
